asset_id,asset_type,last_maintenance_date,next_mission_window,operational_hours
AST-001,Aircraft,2026-06-04,2026-10-27,2506
AST-002,Ground Vehicle,2026-06-18,2026-09-24,6043
AST-003,Comms Equipment,2026-06-12,2026-09-18,3956
AST-004,Aircraft,2026-06-04,2026-10-04,2291
AST-005,Ground Vehicle,2026-08-04,2026-10-02,717
AST-006,Comms Equipment,2026-06-26,2026-10-01,3936
AST-007,Ground Vehicle,2026-07-28,2026-09-25,2778
AST-008,Aircraft,2026-06-21,2026-09-23,3287
AST-009,Radar Equipment,2026-06-20,2026-10-21,6754
AST-010,Radar Equipment,2026-06-14,2026-09-22,3612
AST-011,Aircraft,2026-07-16,2026-10-24,5445
AST-012,Radar Equipment,2026-06-06,2026-10-14,4892
AST-013,Aircraft,2026-07-19,2026-09-19,5022
AST-014,Radar Equipment,2026-08-20,2026-09-18,7753
AST-015,Radar Equipment,2026-08-13,2026-09-22,6271
AST-016,Aircraft,2026-06-06,2026-09-30,6832
AST-017,Radar Equipment,2026-06-11,2026-10-01,7598
AST-018,Aircraft,2026-07-19,2026-10-19,4214
AST-019,Radar Equipment,2026-06-21,2026-10-25,3410
AST-020,Ground Vehicle,2026-08-25,2026-09-18,6249
