asset_id,timestamp,temperature_c,vibration_mm_s,pressure_psi,fault_code
AST-001,2026-08-13,67.93,2.35,110.45,
AST-001,2026-08-14,69.98,2.31,107.81,
AST-001,2026-08-15,70.09,2.71,107.1,
AST-001,2026-08-16,68.02,2.22,107.11,
AST-001,2026-08-17,67.42,1.64,103.33,
AST-001,2026-08-18,65.81,2.0,109.45,
AST-001,2026-08-19,65.12,1.84,112.9,
AST-001,2026-08-20,66.48,2.43,104.23,
AST-001,2026-08-21,65.85,2.45,105.05,
AST-001,2026-08-22,67.69,2.16,107.63,
AST-001,2026-08-23,65.73,3.15,108.47,
AST-001,2026-08-24,64.82,2.73,104.85,
AST-001,2026-08-25,67.35,1.62,104.52,
AST-001,2026-08-26,67.33,2.7,109.02,
AST-001,2026-08-27,66.7,2.28,104.07,
AST-001,2026-08-28,65.49,2.22,111.68,
AST-001,2026-08-29,67.62,1.7,109.48,
AST-001,2026-08-30,66.16,2.13,110.34,
AST-001,2026-08-31,69.0,2.78,105.99,
AST-001,2026-09-01,66.32,2.54,111.43,
AST-001,2026-09-02,65.98,2.33,105.19,
AST-001,2026-09-03,64.54,2.73,112.58,
AST-001,2026-09-04,66.79,2.81,109.59,
AST-001,2026-09-05,65.64,2.55,113.12,
AST-001,2026-09-06,66.86,3.03,100.65,
AST-001,2026-09-07,68.58,2.44,107.61,
AST-001,2026-09-08,67.12,1.61,107.85,
AST-001,2026-09-09,67.65,3.0,106.95,
AST-001,2026-09-10,65.32,2.2,111.25,
AST-001,2026-09-11,67.59,2.19,110.05,
AST-002,2026-08-13,70.52,2.72,94.38,
AST-002,2026-08-14,69.67,2.17,92.1,
AST-002,2026-08-15,70.91,2.43,96.5,
AST-002,2026-08-16,69.85,1.76,95.22,
AST-002,2026-08-17,69.64,2.01,96.0,
AST-002,2026-08-18,71.13,3.08,97.01,
AST-002,2026-08-19,70.84,2.3,90.73,
AST-002,2026-08-20,70.27,2.35,103.88,
AST-002,2026-08-21,69.94,2.45,96.38,
AST-002,2026-08-22,67.99,2.79,98.74,
AST-002,2026-08-23,71.9,1.97,100.69,
AST-002,2026-08-24,67.52,2.56,103.06,
AST-002,2026-08-25,68.34,2.1,96.78,
AST-002,2026-08-26,69.32,1.71,96.69,
AST-002,2026-08-27,68.2,2.52,93.73,
AST-002,2026-08-28,73.42,2.02,95.52,
AST-002,2026-08-29,71.95,1.84,97.17,
AST-002,2026-08-30,72.94,1.69,97.04,
AST-002,2026-08-31,70.84,2.64,92.77,
AST-002,2026-09-01,67.68,2.54,97.38,
AST-002,2026-09-02,70.82,2.47,94.45,
AST-002,2026-09-03,70.79,2.45,94.34,
AST-002,2026-09-04,74.05,2.52,92.91,
AST-002,2026-09-05,71.64,1.94,98.85,
AST-002,2026-09-06,72.64,2.0,99.38,
AST-002,2026-09-07,71.15,2.66,102.18,
AST-002,2026-09-08,69.83,2.03,93.82,
AST-002,2026-09-09,68.69,2.3,97.51,
AST-002,2026-09-10,70.88,2.66,96.52,
AST-002,2026-09-11,73.23,2.22,104.65,
AST-003,2026-08-13,72.46,1.83,104.29,
AST-003,2026-08-14,73.05,2.21,107.24,
AST-003,2026-08-15,73.38,2.43,103.45,
AST-003,2026-08-16,71.4,2.39,106.58,
AST-003,2026-08-17,74.84,2.46,104.28,
AST-003,2026-08-18,75.32,2.78,103.94,
AST-003,2026-08-19,76.61,2.62,103.66,
AST-003,2026-08-20,77.63,3.94,104.87,
AST-003,2026-08-21,73.88,3.41,102.67,
